Listing...
alsa-ucm-conf/noble-updates,noble-updates 1.2.10-1ubuntu5.8 all [upgradable from: 1.2.10-1ubuntu5.7]
apache2-bin/noble-security 2.4.58-1ubuntu8.11 amd64 [upgradable from: 2.4.58-1ubuntu8.6]
apache2-data/noble-security,noble-security 2.4.58-1ubuntu8.11 all [upgradable from: 2.4.58-1ubuntu8.6]
apache2-utils/noble-security 2.4.58-1ubuntu8.11 amd64 [upgradable from: 2.4.58-1ubuntu8.6]
apache2/noble-security 2.4.58-1ubuntu8.11 amd64 [upgradable from: 2.4.58-1ubuntu8.6]
apparmor/noble-updates 4.0.1really4.0.1-0ubuntu0.24.04.5 amd64 [upgradable from: 4.0.1really4.0.1-0ubuntu0.24.04.4]
avahi-autoipd/noble-updates,noble-security 0.8-13ubuntu6.1 amd64 [upgradable from: 0.8-13ubuntu6]
avahi-daemon/noble-updates,noble-security 0.8-13ubuntu6.1 amd64 [upgradable from: 0.8-13ubuntu6]
avahi-utils/noble-updates,noble-security 0.8-13ubuntu6.1 amd64 [upgradable from: 0.8-13ubuntu6]
bind9-dnsutils/noble-updates,noble-security 1:9.18.39-0ubuntu0.24.04.2 amd64 [upgradable from: 1:9.18.30-0ubuntu0.24.04.2]
bind9-host/noble-updates,noble-security 1:9.18.39-0ubuntu0.24.04.2 amd64 [upgradable from: 1:9.18.30-0ubuntu0.24.04.2]
bind9-libs/noble-updates,noble-security 1:9.18.39-0ubuntu0.24.04.2 amd64 [upgradable from: 1:9.18.30-0ubuntu0.24.04.2]
binutils-common/noble-updates,noble-security 2.42-4ubuntu2.8 amd64 [upgradable from: 2.42-4ubuntu2.5]
binutils-x86-64-linux-gnu/noble-updates,noble-security 2.42-4ubuntu2.8 amd64 [upgradable from: 2.42-4ubuntu2.5]
binutils/noble-updates,noble-security 2.42-4ubuntu2.8 amd64 [upgradable from: 2.42-4ubuntu2.5]
bluetooth/noble-updates,noble-updates 5.72-0ubuntu5.5 all [upgradable from: 5.72-0ubuntu5.3]
bluez-cups/noble-updates 5.72-0ubuntu5.5 amd64 [upgradable from: 5.72-0ubuntu5.3]
bluez-obexd/noble-updates 5.72-0ubuntu5.5 amd64 [upgradable from: 5.72-0ubuntu5.3]
bluez/noble-updates 5.72-0ubuntu5.5 amd64 [upgradable from: 5.72-0ubuntu5.3]
bsdextrautils/noble-security 2.39.3-9ubuntu6.5 amd64 [upgradable from: 2.39.3-9ubuntu6.3]
bsdutils/noble-security 1:2.39.3-9ubuntu6.5 amd64 [upgradable from: 1:2.39.3-9ubuntu6.3]
coreutils/noble-updates 9.4-3ubuntu6.1 amd64 [upgradable from: 9.4-3ubuntu6]
cpp-13-x86-64-linux-gnu/noble-security 13.3.0-6ubuntu2~24.04.1 amd64 [upgradable from: 13.3.0-6ubuntu2~24.04]
cpp-13/noble-security 13.3.0-6ubuntu2~24.04.1 amd64 [upgradable from: 13.3.0-6ubuntu2~24.04]
cups-bsd/noble-updates,noble-security 2.4.7-1.2ubuntu7.9 amd64 [upgradable from: 2.4.7-1.2ubuntu7.3]
cups-client/noble-updates,noble-security 2.4.7-1.2ubuntu7.9 amd64 [upgradable from: 2.4.7-1.2ubuntu7.3]
cups-common/noble-updates,noble-updates,noble-security,noble-security 2.4.7-1.2ubuntu7.9 all [upgradable from: 2.4.7-1.2ubuntu7.3]
cups-core-drivers/noble-updates,noble-security 2.4.7-1.2ubuntu7.9 amd64 [upgradable from: 2.4.7-1.2ubuntu7.3]
cups-daemon/noble-updates,noble-security 2.4.7-1.2ubuntu7.9 amd64 [upgradable from: 2.4.7-1.2ubuntu7.3]
cups-filters-core-drivers/noble-updates,noble-security 2.0.0-0ubuntu4.1 amd64 [upgradable from: 2.0.0-0ubuntu4]
cups-filters/noble-updates,noble-security 2.0.0-0ubuntu4.1 amd64 [upgradable from: 2.0.0-0ubuntu4]
cups-ipp-utils/noble-updates,noble-security 2.4.7-1.2ubuntu7.9 amd64 [upgradable from: 2.4.7-1.2ubuntu7.3]
cups-ppdc/noble-updates,noble-security 2.4.7-1.2ubuntu7.9 amd64 [upgradable from: 2.4.7-1.2ubuntu7.3]
cups-server-common/noble-updates,noble-updates,noble-security,noble-security 2.4.7-1.2ubuntu7.9 all [upgradable from: 2.4.7-1.2ubuntu7.3]
cups/noble-updates,noble-security 2.4.7-1.2ubuntu7.9 amd64 [upgradable from: 2.4.7-1.2ubuntu7.3]
curl/noble-security 8.5.0-2ubuntu10.8 amd64 [upgradable from: 8.5.0-2ubuntu10.6]
dconf-cli/noble-updates 0.40.0-4ubuntu0.1 amd64 [upgradable from: 0.40.0-4build2]
